,0,1,2,3
0,['wildcat'],1,[66.05424880981445],"[[375, 294, 1112, 1080]]"
1,['wildcat'],1,[67.24627017974854],"[[376, 292, 1115, 1080]]"
2,['wildcat'],1,[88.33915591239929],"[[384, 305, 1110, 1080]]"
3,['wildcat'],1,[76.25991702079773],"[[366, 285, 1129, 1080]]"
4,['wildcat'],1,[84.39656496047974],"[[389, 306, 1119, 1068]]"
5,['wildcat'],1,[78.72344255447388],"[[364, 284, 1091, 1080]]"
6,['wildcat'],1,[72.0379889011383],"[[367, 292, 1103, 1080]]"
7,['wildcat'],1,[64.90915417671204],"[[388, 303, 1091, 1080]]"
8,['wildcat'],1,[63.656240701675415],"[[402, 311, 1088, 1080]]"
9,['wildcat'],1,[57.64263868331909],"[[368, 353, 1064, 1038]]"
10,['wildcat'],1,[62.17951774597168],"[[432, 292, 1094, 1038]]"
11,"['wildcat', 'wildboar']",2,"[69.73658800125122, 53.17292809486389]","[[436, 286, 1101, 1048], [417, 299, 1170, 1080]]"
12,"['wildcat', 'wildboar']",2,"[77.80582904815674, 50.56554675102234]","[[432, 323, 1098, 1080], [420, 247, 1112, 1080]]"
13,"['wildboar', 'wildcat']",2,"[71.75135612487793, 50.099217891693115]","[[398, 303, 1067, 1080], [452, 287, 1082, 1019]]"
14,"['wildboar', 'wildcat']",2,"[55.76139688491821, 51.779139041900635]","[[387, 301, 1077, 1080], [392, 344, 1092, 1079]]"
15,['wildcat'],1,[67.27932095527649],"[[397, 317, 1132, 1080]]"
16,['wildboar'],1,[63.4247362613678],"[[395, 317, 1091, 1080]]"
17,['wildboar'],1,[77.96095609664917],"[[409, 327, 1068, 1070]]"
18,['wildboar'],1,[70.6627607345581],"[[410, 364, 1106, 1062]]"
19,['wildboar'],1,[87.3595118522644],"[[400, 336, 1062, 1051]]"
20,"['wildboar', 'wildcat']",2,"[85.07620096206665, 52.2913932800293]","[[406, 346, 1059, 1068], [438, 408, 1094, 1042]]"
21,['wildboar'],1,[73.03417325019836],"[[389, 326, 1050, 1077]]"
22,['wildboar'],1,[60.55256128311157],"[[363, 394, 1053, 1046]]"
23,['wildboar'],1,[88.2971465587616],"[[374, 394, 1055, 1044]]"
24,['wildboar'],1,[80.41910529136658],"[[407, 339, 1038, 1080]]"
25,['wildboar'],1,[70.28088569641113],"[[360, 329, 1056, 1054]]"
26,['wildboar'],1,[81.90057277679443],"[[368, 328, 1045, 1071]]"
27,['wildboar'],1,[77.91622877120972],"[[376, 404, 1037, 1038]]"
28,['wildboar'],1,[64.6403968334198],"[[361, 332, 979, 1061]]"
29,['wildboar'],1,[65.26861786842346],"[[355, 425, 1066, 1071]]"
30,"['waterdeer', 'wildboar']",2,"[80.42632341384888, 69.03369426727295]","[[368, 427, 1047, 1039], [340, 428, 1082, 1066]]"
